861,26,157,14,100
862,249,202,355,151
863,27,196,360,59
864,111,292,212,306
865,231,82,393,197
866,92,343,390,46
867,117,212,383,220
868,382,309,78,302
869,21,392,328,43
870,159,245,318,58
871,181,243,395,305
872,91,58,334,338
873,345,269,271,232
874,34,236,80,199
875,164,327,397,383
876,257,345,338,118
877,388,46,33,225
878,270,95,393,186
879,166,274,243,234
880,4,320,38,256
881,1,48,229,377
882,288,146,125,86
883,213,344,370,305
884,114,22,366,367
885,165,33,185,221
886,315,100,91,230
887,296,230,213,62
