861,12,179,210,271
862,146,227,92,258
863,94,66,264,222
864,320,258,398,63
865,99,387,71,103
866,5,89,70,81
867,20,264,154,236
868,176,266,261,230
869,79,167,48,226
870,163,363,74,223
871,136,246,295,80
872,35,313,236,332
873,11,305,81,262
874,273,177,3,40
875,216,295,225,11
876,269,123,138,293
877,81,81,156,229
878,313,289,148,357
879,260,296,56,217
880,51,110,375,135
881,38,123,359,106
882,137,146,211,100
883,271,10,221,190
884,341,93,50,322
885,342,176,66,161
886,141,231,88,48
887,228,140,116,282
